ASX listed companies as at Mon Mar 09 08:45:10 AEDT 2026

Company name,ASX code,GICS industry group
"AUREKA LIMITED","AKA","Materials"
"AURELIA METALS LIMITED","AMI","Materials"
"AURIC MINING LIMITED","AWJ","Materials"
"AURIS MINERALS LIMITED","AUR","Materials"
"AURIZON HOLDINGS LIMITED","AZJ","Transportation"
"AURORA ENERGY METALS LIMITED","1AE","Materials"
"AURORA LABS LIMITED","A3D","Capital Goods"
"AURUM RESOURCES LIMITED","AUE","Materials"
"AUSGOLD LIMITED","AUC","Materials"
"AUSMON RESOURCES LIMITED","AOA","Materials"
"AUSNET SERVICES HOLDINGS PTY LTD","ANV","Not Applic"
"AUSQUEST LIMITED","AQD","Materials"
"AUSSIE BROADBAND LIMITED","ABB","Telecommunication Services"
"AUSTAL LIMITED","ASB","Capital Goods"
"AUSTCO HEALTHCARE LIMITED","AHC","Health Care Equipment & Services"
"AUSTIN ENGINEERING LIMITED","ANG","Capital Goods"
"AUSTIN METALS LIMITED","AYT","Materials"
"AUSTRAL GOLD LIMITED","AGD","Materials"
"AUSTRAL RESOURCES AUSTRALIA LTD","AR1","Materials"
"AUSTRALASIAN METALS LIMITED","A8G","Materials"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.","AN3","Not Applic"
"AUSTRALIA UNITED MINING LIMITED","AYM","Materials"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","AAC","Food, Beverage & Tobacco"
"AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","AAP","Food, Beverage & Tobacco"
"AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","ABE","Financial Services"
"AUSTRALIAN CLINICAL LABS LIMITED","ACL","Health Care Equipment & Services"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS","XCL","Not Applic"
"AUSTRALIAN CRITICAL MINERALS LIMITED","ACM","Materials"
"AUSTRALIAN DAIRY NUTRITIONALS LIMITED","AHF","Food, Beverage & Tobacco"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF","Financial Services"
"AUSTRALIAN FINANCE GROUP LTD","AFG","Financial Services"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI","Not Applic"
"AUSTRALIAN GOLD AND COPPER LTD","AGC","Materials"
"AUSTRALIAN MINES LIMITED","AUZ","Materials"
"AUSTRALIAN OIL COMPANY LIMITED.","AOK","Energy"
"AUSTRALIAN PACIFIC COAL LIMITED","AQC","Materials"
"AUSTRALIAN RARE EARTHS LIMITED","AR3","Materials"
"AUSTRALIAN SILICA QUARTZ GROUP LTD","ASQ","Materials"
"AUSTRALIAN STRATEGIC MATERIALS LIMITED","ASM","Materials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","AUI","Not Applic"
"AUSTRALIAN UNITY LIMITED","AYU","Not Applic"
"AUSTRALIAN UNITY OFFICE FUND","AOF","Equity Real Estate Investment Trusts (REITs)"
"AUSTRALIAN VANADIUM LIMITED","AVL","Materials"
"AUSTRALIAN VINTAGE LTD","AVG","Food, Beverage & Tobacco"
"AUSTRALIS OIL & GAS LIMITED","ATS","Energy"
"AUTOSPORTS GROUP LIMITED.","ASG","Consumer Discretionary Distribution & Retail"
"AVA RISK GROUP LIMITED","AVA","Technology Hardware & Equipment"
"AVADA GROUP LIMITED","AVD","Commercial & Professional Services"
"AVECHO BIOTECHNOLOGY LIMITED","AVE","Pharmaceuticals, Biotechnology & Life Sciences"
"AVENIRA LIMITED","AEV","Materials"
"AVIRA RESOURCES LTD","AVW","Materials"
"AVITA MEDICAL INC.","AVH","Pharmaceuticals, Biotechnology & Life Sciences"
"AXEL REE LIMITED","AXL","Materials"
"AXP ENERGY LIMITED","AXP","Energy"
"AXTEC LIMITED","AXI","Real Estate Management & Development"
"BABY BUNTING GROUP LIMITED","BBN","Consumer Discretionary Distribution & Retail"
"BABYLON PUMP & POWER LIMITED","BPP","Capital Goods"
"BAILADOR TECHNOLOGY INVESTMENTS LIMITED","BTI","Financial Services"
"BALLARD MINING LIMITED","BM1","Materials"
"BALLYMORE RESOURCES LIMITED","BMR","Materials"
"BANCO SANTANDER S.A.","B01","Not Applic"
"BANK OF QUEENSLAND LIMITED.","BOQ","Banks"
"BANNERMAN ENERGY LTD","BMN","Energy"
"BAPCOR LIMITED","BAP","Consumer Discretionary Distribution & Retail"
"BARKLY RARE EARTHS LIMITED","BAK","Materials"
"BARTON GOLD HOLDINGS LIMITED","BGD","Materials"
"BARYS RESOURCES LIMITED","BRY","Materials"
"BASIN ENERGY LIMITED","BSN","Energy"
"BASS OIL LIMITED","BAS","Energy"
"BATHURST RESOURCES LIMITED.","BRL","Materials"
"BATTERY AGE MINERALS LTD","BM8","Materials"
"BAUMART HOLDINGS LIMITED","BMH","Capital Goods"
"BAYAN MINING AND MINERALS LIMITED","BMM","Materials"
"BCAL DIAGNOSTICS LIMITED","BDX","Pharmaceuticals, Biotechnology & Life Sciences"
"BCI MINERALS LIMITED","BCI","Materials"
"BEACH ENERGY LIMITED","BPT","Energy"
"BEACON LIGHTING GROUP LIMITED","BLX","Consumer Discretionary Distribution & Retail"
"BEACON MINERALS LIMITED","BCN","Materials"
"BEAM COMMUNICATIONS HOLDINGS LIMITED","BCC","Technology Hardware & Equipment"
"BEAMTREE HOLDINGS LIMITED","BMT","Health Care Equipment & Services"
"BEETALOO ENERGY AUSTRALIA LIMITED","BTL","Energy"
"BEFOREPAY GROUP LIMITED","B4P","Financial Services"
"BEGA CHEESE LIMITED","BGA","Food, Beverage & Tobacco"
"BELARAROX LIMITED","BRX","Materials"
"BELL FINANCIAL GROUP LIMITED","BFG","Financial Services"
"BELLAVISTA RESOURCES LTD","BVR","Materials"
"BELLEVUE GOLD LIMITED","BGL","Materials"
"BENDIGO AND ADELAIDE BANK LIMITED","BEN","Banks"
"BENJAMIN HORNIGOLD LIMITED","BHD","Not Applic"
"BENTLEY CAPITAL LIMITED","BEL","Not Applic"
"BENZ MINING CORP.","BNZ","Materials"
"BEONIC LTD","BEO","Software & Services"
"BERKELEY ENERGIA LIMITED","BKY","Energy"
"BESRA GOLD INC.","BEZ","Materials"
"BETMAKERS TECHNOLOGY GROUP LTD","BET","Consumer Services"
"BETR ENTERTAINMENT LIMITED","BBT","Consumer Services"
"BHAGWAN MARINE LIMITED","BWN","Transportation"
"BHP GROUP LIMITED","BHP","Materials"
"BIG RIVER INDUSTRIES LIMITED","BRI","Materials"
"BINDI METALS LIMITED","BIM","Materials"
"BIO-GENE TECHNOLOGY LTD","BGT","Materials"
"BIOME AUSTRALIA LIMITED","BIO","Household & Personal Products"
"BIOTRON LIMITED","BIT","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOXYNE LIMITED","BXN","Household & Personal Products"
"BISALLOY STEEL GROUP LIMITED","BIS","Materials"
"BKI INVESTMENT COMPANY LIMITED","BKI","Not Applic"
"BLACK BEAR MINERALS LIMITED","BKB","Materials"
"BLACK CANYON LIMITED","BCA","Materials"
"BLACK CAT SYNDICATE LIMITED","BC8","Materials"
"BLACK HORSE MINING LIMITED","BHL","Materials"
"BLACK PEARL GROUP LIMITED","BPG","Software & Services"
"BLACK ROCK MINING LIMITED","BKT","Materials"
"BLACKSTONE MINERALS LIMITED","BSX","Materials"
"BLACKWALL LIMITED","BWF","Financial Services"
"BLACKWATTLE SERIES RMBS TRUST NO.6","BW6","Not Applic"
"BLAZE MINERALS LIMITED","BLZ","Energy"
"BLINKLAB LIMITED","BB1","Health Care Equipment & Services"
"BLOCK, INC.","XYZ","Financial Services"
"BLUE ENERGY LIMITED.","BLU","Energy"
"BLUE STAR HELIUM LIMITED","BNL","Energy"
"BLUESCOPE STEEL LIMITED","BSL","Materials"
"BLUESTONE PRIME 2024-1 TRUST","BS1","Not Applic"
"BLUGLASS LIMITED","BLG","Semiconductors & Semiconductor Equipment"
"BMC MINERALS LTD.","BMC","Materials"
"BMG RESOURCES LIMITED","BMG","Materials"
"BNK BANKING CORPORATION LIMITED","BBC","Banks"
"BOA RESOURCES LTD","BOA","Materials"
"BOAB METALS LIMITED","BML","Materials"
"BOOM LOGISTICS LIMITED","BOL","Capital Goods"
"BOSS ENERGY LTD","BOE","Energy"
"BOTALA ENERGY LTD","BTE","Energy"
"BOTANIX PHARMACEUTICALS LTD","BOT","Pharmaceuticals, Biotechnology & Life Sciences"
"BOUGAINVILLE COPPER LIMITED","BOC","Materials"
"BOUNTY OIL & GAS NL","BUY","Energy"
"BOWEN COKING COAL LIMITED","BCB","Materials"
"BP CAPITAL MARKETS P.L.C.","BP1","Not Applic"
"BPH ENERGY LTD","BPH","Financial Services"
"BPH GLOBAL LTD","BP8","Pharmaceuticals, Biotechnology & Life Sciences"
"BPM MINERALS LIMITED","BPM","Materials"
"BRAINCHIP HOLDINGS LTD","BRN","Software & Services"
"BRAMBLES LIMITED","BXB","Commercial & Professional Services"
"BRAVURA SOLUTIONS LIMITED.","BVS","Software & Services"
"BRAZILIAN CRITICAL MINERALS LIMITED","BCM","Materials"
"BRAZILIAN RARE EARTHS LIMITED","BRE","Materials"
"BREAKTHROUGH MINERALS LIMITED","BTM","Energy"
"BREVILLE GROUP LIMITED","BRG","Consumer Durables & Apparel"
"BRIDGE SAAS LIMITED","BGE","Software & Services"
"BRIGHTSTAR RESOURCES LIMITED","BTR","Materials"
"BRISBANE BRONCOS LIMITED","BBL","Media & Entertainment"
"BRISCOE GROUP AUSTRALASIA LIMITED","BGP","Consumer Discretionary Distribution & Retail"
"BROCKMAN MINING LIMITED","BCK","Materials"
"BROKEN HILL MINES LIMITED","BHM","Materials"
"BROOKSIDE ENERGY LIMITED","BRK","Energy"
"BSA LIMITED","BSA","Commercial & Professional Services"
"BSP FINANCIAL GROUP LIMITED","BFL","Banks"
"BTC HEALTH LTD","BTC","Not Applic"
"BUBALUS RESOURCES LIMITED","BUS","Materials"
"BUBS AUSTRALIA LIMITED","BUB","Food, Beverage & Tobacco"
"BULLETIN RESOURCES LIMITED","BNR","Materials"
"BURGUNDY DIAMOND MINES LIMITED","BDM","Materials"
"BURLEY MINERALS LTD","BUR","Materials"
"BURU ENERGY LIMITED","BRU","Energy"
"BUTN LIMITED","BTN","Financial Services"
"BUXTON RESOURCES LIMITED","BUX","Materials"
"BWP GROUP","BWP","Equity Real Estate Investment Trusts (REITs)"
"C29 METALS LIMITED","C29","Materials"
"CADENCE CAPITAL LIMITED","CDM","Not Applic"
"CADENCE OPPORTUNITIES FUND LIMITED.","CDO","Not Applic"
"CADOUX LIMITED","CCM","Materials"
"CAISSE FRANCAISE DE FINANCEMENT LOCAL","DXA","Not Applic"
"CALIX LIMITED","CXL","Materials"
"CAMBIUM BIO LIMITED","CMB","Pharmaceuticals, Biotechnology & Life Sciences"
"CAMPLIFY HOLDINGS LIMITED","CHL","Transportation"
"CANADIAN PHOSPHATE LIMITED","CP8","Materials"
"CANN GROUP LIMITED","CAN","Pharmaceuticals, Biotechnology & Life Sciences"
"CANNINDAH RESOURCES LIMITED","CAE","Materials"
"CANTERBURY RESOURCES LIMITED","CBY","Materials"
"CANYON RESOURCES LIMITED","CAY","Materials"
"CAPRAL LIMITED","CAA","Materials"
"CAPRICE RESOURCES LTD","CRS","Materials"
"CAPRICORN METALS LTD","CMM","Materials"
"CAPSTONE COPPER CORP.","CSC","Materials"
"CAQ HOLDINGS LIMITED","CAQ","Real Estate Management & Development"
"CAR GROUP LIMITED","CAR","Media & Entertainment"
"CARAVEL MINERALS LIMITED","CVV","Materials"
"CARBINE RESOURCES LIMITED","CRB","Materials"
"CARBONXT GROUP LIMITED","CG1","Materials"
"CARETEQ LIMITED","CTQ","Health Care Equipment & Services"
"CARINDALE PROPERTY TRUST","CDP","Equity Real Estate Investment Trusts (REITs)"
"CARLTON INVESTMENTS LIMITED","CIN","Not Applic"
"CARMA LIMITED","CMA","Consumer Discretionary Distribution & Retail"
"CARNABY RESOURCES LIMITED","CNB","Materials"
"CARNARVON ENERGY LIMITED","CVN","Energy"
"CARNAVALE RESOURCES LIMITED","CAV","Materials"
"CARNEGIE CLEAN ENERGY LIMITED","CCE","Utilities"
"CASH CONVERTERS INTERNATIONAL","CCV","Financial Services"
"CASPIN RESOURCES LIMITED","CPN","Materials"
"CASSIUS MINING LIMITED","CMD","Materials"
"CASTILE RESOURCES LTD","CST","Materials"
"CASTLE MINERALS LIMITED","CDT","Materials"
"CATALINA RESOURCES LTD","CTN","Materials"
"CATALYST METALS LIMITED","CYL","Materials"
"CATAPULT SPORTS LTD","CAT","Software & Services"
"CAULDRON ENERGY LIMITED","CXU","Energy"
"CAVALIER RESOURCES LIMITED","CVR","Materials"
"CAZALY RESOURCES LIMITED","CAZ","Materials"
"CD PRIVATE EQUITY FUND I","CD1","Not Applic"
"CD PRIVATE EQUITY FUND II","CD2","Not Applic"
"CD PRIVATE EQUITY FUND III","CD3","Not Applic"
"CEDAR WOODS PROPERTIES LIMITED","CWP","Real Estate Management & Development"
"CELSIUS RESOURCES LIMITED.","CLA","Materials"
"CENTAURUS METALS LIMITED","CTM","Materials"
"CENTRAL PETROLEUM LIMITED","CTP","Energy"
"CENTREPOINT ALLIANCE LIMITED","CAF","Financial Services"
"CENTURIA CAPITAL GROUP","CNI","Equity Real Estate Investment Trusts (REITs)"
"CENTURIA INDUSTRIAL REIT","CIP","Equity Real Estate Investment Trusts (REITs)"
"CENTURIA OFFICE REIT","COF","Equity Real Estate Investment Trusts (REITs)"
"CETTIRE LIMITED","CTT","Consumer Discretionary Distribution & Retail"
"CGN RESOURCES LIMITED","CGR","Materials"
"CHALICE MINING LIMITED","CHN","Materials"
"CHALLENGER GOLD LIMITED","CEL","Materials"
"CHALLENGER IM CAPITAL LIMITED","CIM","Not Applic"
"CHALLENGER LIMITED","CGF","Financial Services"
"CHAMPION IRON LIMITED","CIA","Materials"
"CHANGE FINANCIAL LIMITED","CCA","Financial Services"
"CHANNEL INFRASTRUCTURE NZ LIMITED","CHI","Energy"
"CHARGER METALS NL","CHR","Materials"
"CHARIOT RESOURCES LTD","CC9","Materials"
"CHARTER HALL GROUP","CHC","Equity Real Estate Investment Trusts (REITs)"
"CHARTER HALL LONG WALE REIT","CLW","Equity Real Estate Investment Trusts (REITs)"
"CHARTER HALL RETAIL REIT","CQR","Equity Real Estate Investment Trusts (REITs)"
"CHARTER HALL SOCIAL INFRASTRUCTURE REIT","CQE","Equity Real Estate Investment Trusts (REITs)"
"CHEMX MATERIALS LIMITED","CMX","Materials"
"CHILWA MINERALS LTD","CHW","Materials"
"CHIMERIC THERAPEUTICS LIMITED","CHM","Pharmaceuticals, Biotechnology & Life Sciences"
"CHORUS LIMITED","CNU","Telecommunication Services"
"CHRYSOS CORPORATION LIMITED","C79","Commercial & Professional Services"
"CITIGOLD CORPORATION LIMITED","CTO","Materials"
"CITY CHIC COLLECTIVE LIMITED","CCX","Consumer Discretionary Distribution & Retail"
"CIVMEC LIMITED","CVL","Capital Goods"
"CL8 HOLDINGS LIMITED","CL8","Transportation"
"CLARA RESOURCES AUSTRALIA LTD","C7A","Materials"
"CLARITY PHARMACEUTICALS LTD","CU6","Pharmaceuticals, Biotechnology & Life Sciences"
"CLASSIC MINERALS LTD","CLZ","Materials"
"CLEAN TEQ WATER LIMITED","CNQ","Commercial & Professional Services"
"CLEANAWAY WASTE MANAGEMENT LIMITED","CWY","Commercial & Professional Services"
"CLEANSPACE HOLDINGS LIMITED","CSX","Health Care Equipment & Services"
"CLEARVIEW WEALTH LIMITED","CVW","Insurance"
"CLEARVUE TECHNOLOGIES LIMITED","CPV","Capital Goods"
"CLEO DIAGNOSTICS LTD","COV","Pharmaceuticals, Biotechnology & Life Sciences"
"CLEVER CULTURE SYSTEMS LIMITED","CC5","Health Care Equipment & Services"
"CLIME CAPITAL LIMITED","CAM","Not Applic"
"CLIME INVESTMENT MANAGEMENT LTD","CIW","Financial Services"
"CLINUVEL PHARMACEUTICALS LIMITED","CUV","Pharmaceuticals, Biotechnology & Life Sciences"
"CLOSE THE LOOP LTD.","CLG","Commercial & Professional Services"
"CLOVER CORPORATION LIMITED","CLV","Materials"
"CLUEY LTD","CLU","Consumer Services"
"COAST ENTERTAINMENT HOLDINGS LIMITED","CEH","Consumer Services"
"COBALT BLUE HOLDINGS LIMITED","COB","Materials"
"COBRAM ESTATE OLIVES LIMITED","CBO","Food, Beverage & Tobacco"
"COBRE LIMITED","CBE","Materials"
"COCHLEAR LIMITED","COH","Health Care Equipment & Services"
"CODA MINERALS LTD","COD","Materials"
"CODAN LIMITED","CDA","Technology Hardware & Equipment"
"CODEIFAI LIMITED","CDE","Commercial & Professional Services"
"CODRUS MINERALS LIMITED","CDR","Materials"
"COG FINANCIAL SERVICES LIMITED","COG","Financial Services"
"COGSTATE LTD","CGS","Health Care Equipment & Services"
"COKAL LIMITED","CKA","Materials"
"COLES GROUP LIMITED.","COL","Consumer Staples Distribution & Retail"
"COLLINS FOODS LIMITED","CKF","Consumer Services"
"COMET RIDGE LIMITED","COI","Energy"
"COMMONWEALTH BANK OF AUSTRALIA.","CBA","Banks"
"COMMS GROUP LTD","CCG","Telecommunication Services"
"COMPLII FINTECH SOLUTIONS LTD","CF1","Software & Services"
"COMPUMEDICS LIMITED","CMP","Health Care Equipment & Services"
"COMPUTERSHARE LIMITED.","CPU","Commercial & Professional Services"
"CONDOR ENERGY LIMITED","CND","Energy"
"CONICO LTD","CNJ","Materials"
"CONNECTED MINERALS LIMITED","CML","Technology Hardware & Equipment"
"CONNEQT HEALTH LIMITED","CQT","Health Care Equipment & Services"
"CONNEXION MOBILITY LTD","CXZ","Software & Services"
"CONRAD ASIA ENERGY LTD.","CRD","Energy"
"CONSTELLATION RESOURCES LIMITED","CR1","Materials"
"CONSTELLATION TECHNOLOGIES LIMITED","CT1","Technology Hardware & Equipment"
"CONTACT ENERGY LIMITED","CEN","Utilities"
"CONTROL BIONICS LIMITED","CBL","Health Care Equipment & Services"
"COOPER METALS LIMITED","CPM","Materials"
"COPPERMOLY LIMITED","COY","Materials"
"CORAZON MINING LIMITED","CZN","Materials"
"CORE ENERGY MINERALS LTD","CR3","Materials"
"CORE LITHIUM LTD","CXO","Materials"
"CORELLA RESOURCES LTD","CR9","Materials"
"CORONADO GLOBAL RESOURCES INC.","CRN","Materials"
"CORPORATE TRAVEL MANAGEMENT LIMITED","CTD","Consumer Services"
"COSMO METALS LIMITED","CMO","Materials"
"COSMOS EXPLORATION LIMITED","C1X","Materials"
"COSOL LIMITED","COS","Software & Services"
"COUNT LIMITED","CUP","Commercial & Professional Services"
"COVENTRY GROUP LIMITED","CYG","Capital Goods"
"CPT GLOBAL LIMITED","CGO","Software & Services"
"CREDIT CLEAR LIMITED","CCR","Software & Services"
"CREDIT CORP GROUP LIMITED","CCP","Financial Services"
"CRITICA LIMITED","CRI","Materials"
"CRITICAL MINERALS GROUP LIMITED","CMG","Materials"
"CRITICAL RESOURCES LIMITED","CRR","Materials"
"CROMWELL PROPERTY GROUP","CMW","Equity Real Estate Investment Trusts (REITs)"
"CRYOSITE LIMITED","CTE","Pharmaceuticals, Biotechnology & Life Sciences"
"CSL FINANCE PLC","CPL","Not Applic"
"CSL LIMITED","CSL","Pharmaceuticals, Biotechnology & Life Sciences"
"CTI LOGISTICS LIMITED","CLX","Transportation"
"CUE ENERGY RESOURCES LIMITED","CUE","Energy"
"CUFE LTD","CUF","Materials"
"CULLEN RESOURCES LIMITED","CUL","Materials"
"CULPEO MINERALS LIMITED","CPO","Materials"
"CURVEBEAM AI LIMITED","CVB","Health Care Equipment & Services"
"CUSCAL LIMITED","CCL","Financial Services"
"CVC LIMITED","CVC","Financial Services"
"CYCLIQ GROUP LTD","CYQ","Consumer Durables & Apparel"
"CYCLOPHARM LIMITED","CYC","Health Care Equipment & Services"
"CYGNUS METALS LIMITED","CY5","Materials"
"CYNATA THERAPEUTICS LIMITED","CYP","Pharmaceuticals, Biotechnology & Life Sciences"
"CYPRIUM METALS LIMITED","CYM","Materials"
"CZR RESOURCES LTD","CZR","Materials"
"D3 ENERGY LIMITED","D3E","Energy"
"DALAROO METALS LTD","DAL","Materials"
"DALRYMPLE BAY INFRASTRUCTURE LIMITED","DBI","Transportation"
"DART MINING NL","DTM","Materials"
"DATA#3 LIMITED","DTL","Software & Services"
"DATADOT TECHNOLOGY LIMITED","DDT","Automobiles & Components"
"DATAWORKS GROUP LIMITED","DWG","Software & Services"
"DATELINE RESOURCES LIMITED","DTR","Materials"
"DE.MEM LIMITED","DEM","Utilities"
"DECIDR AI INDUSTRIES LTD","DAI","Food, Beverage & Tobacco"
"DEEP YELLOW LIMITED","DYL","Energy"
"DELOREAN CORPORATION LIMITED","DEL","Utilities"
"DELTA LITHIUM LIMITED","DLI","Materials"
"DESANE GROUP HOLDINGS LIMITED","DGH","Real Estate Management & Development"
"DESERT METALS LIMITED","DM1","Materials"
"DESERT MINERALS LTD","DSM","Materials"
"DESOTO RESOURCES LIMITED","DES","Materials"
"DETERRA ROYALTIES LIMITED","DRR","Materials"
"DEVELOP GLOBAL LIMITED","DVP","Materials"
"DEVEX RESOURCES LIMITED","DEV","Energy"
"DEXUS","DXS","Equity Real Estate Investment Trusts (REITs)"
"DEXUS CONVENIENCE RETAIL REIT","DXC","Equity Real Estate Investment Trusts (REITs)"
"DEXUS INDUSTRIA REIT.","DXI","Equity Real Estate Investment Trusts (REITs)"
"DGL GROUP LIMITED","DGL","Materials"
"DGR GLOBAL LIMITED","DGR","Materials"
"DIABLO RESOURCES LIMITED","DBO","Materials"
"DIATREME RESOURCES LIMITED","DRX","Materials"
"DICKER DATA LIMITED","DDR","Technology Hardware & Equipment"
"DIGICO INFRASTRUCTURE REIT","DGT","Class Pend"
"DIGITALX LIMITED","DCC","Software & Services"
"DIMERIX LIMITED","DXB","Pharmaceuticals, Biotechnology & Life Sciences"
"DISCOVERY ALASKA LIMITED","DAF","Materials"
"DIVERSIFIED UNITED INVESTMENT LIMITED","DUI","Not Applic"
"DJERRIWARRH INVESTMENTS LIMITED","DJW","Not Applic"
"DOCTOR CARE ANYWHERE GROUP PLC","DOC","Health Care Equipment & Services"
"DOME GOLD MINES LIMITED","DME","Materials"
"DOMINION INCOME TRUST 1","DN1","Not Applic"
"DOMINION INVESTMENT GROUP LIMITED","DMN","Not Applic"
"DOMINO'S PIZZA ENTERPRISES LIMITED","DMP","Consumer Services"
"DORSAVI LTD","DVL","Pharmaceuticals, Biotechnology & Life Sciences"
"DOTZ NANO LIMITED","DTZ","Technology Hardware & Equipment"
"DOWNER EDI LIMITED","DOW","Commercial & Professional Services"
"DPM METALS INC.","DPM","Materials"
"DRAGON MOUNTAIN GOLD LIMITED","DMG","Materials"
"DREADNOUGHT RESOURCES LTD","DRE","Materials"
"DRIVER AUSTRALIA EIGHT TRUST","DA8","Not Applic"
"DRIVER AUSTRALIA MASTER TRUST","DAM","Not Applic"
"DRIVER AUSTRALIA NINE TRUST","DA9","Not Applic"
"DRIVER AUSTRALIA SEVEN TRUST","DAT","Not Applic"
"DRIVER AUSTRALIA TEN TRUST","D10","Not Applic"
"DRONESHIELD LIMITED","DRO","Capital Goods"
"DTI GROUP LTD","DTI","Technology Hardware & Equipment"
"DUBBER CORPORATION LIMITED","DUB","Software & Services"
"DUG TECHNOLOGY LTD","DUG","Software & Services"
"DUKETON MINING LIMITED","DKM","Materials"
"DUNDAS MINERALS LIMITED","DUN","Materials"
"DURATEC LIMITED","DUR","Capital Goods"
"DUSK GROUP LIMITED","DSK","Consumer Discretionary Distribution & Retail"
"DUXTON FARMS LTD","DBF","Food, Beverage & Tobacco"
"DXN LIMITED","DXN","Software & Services"
"DYNAMIC METALS LIMITED","DYM","Materials"
"DYNO NOBEL LIMITED.","DNL","Materials"
"E79 GOLD MINES LIMITED","E79","Materials"
"EAGERS AUTOMOTIVE LIMITED","APE","Consumer Discretionary Distribution & Retail"
"EAGLE MOUNTAIN MINING LIMITED","EM2","Materials"
"EARLYPAY LTD","EPY","Financial Services"
"EARTHS ENERGY LIMITED","EE1","Materials"
"EASTERN GAS CORPORATION LIMITED","EGA","Energy"
"EASTERN RESOURCES LIMITED","EFE","Materials"
"EBOS GROUP LIMITED","EBO","Health Care Equipment & Services"
"EBR SYSTEMS INC.","EBR","Health Care Equipment & Services"
"ECHELON RESOURCES LIMITED","ECH","Energy"
"ECHOIQ LIMITED","EIQ","Software & Services"
"ECLIPSE METALS LIMITED.","EPM","Energy"
"ECOGRAF LIMITED","EGR","Materials"
"ECP EMERGING GROWTH LIMITED","ECP","Not Applic"
"ECS BOTANICS HOLDINGS LTD","ECS","Pharmaceuticals, Biotechnology & Life Sciences"
"EDEN INNOVATIONS LTD","EDE","Energy"
"EDU HOLDINGS LIMITED","EDU","Consumer Services"
"ELANOR INVESTORS GROUP","ENN","Consumer Services"
"ELDERS LIMITED","ELD","Food, Beverage & Tobacco"
"ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","EOS","Capital Goods"
"ELEMENT 25 LIMITED","E25","Materials"
"ELEMENTOS LIMITED","ELT","Materials"
"ELEVATE URANIUM LTD","EL8","Energy"
"ELEVRA LITHIUM LIMITED","ELV","Materials"
"ELIXINOL WELLNESS LIMITED","EXL","Household & Personal Products"
"ELIXIR ENERGY LIMITED","EXR","Energy"
"ELSIGHT LIMITED","ELS","Technology Hardware & Equipment"
"EMBARK EARLY EDUCATION LIMITED","EVO","Consumer Services"
"EMBELTON LIMITED","EMB","Capital Goods"
"EMC GOLD CORPORATION","EM3","Materials"
"EMECO HOLDINGS LIMITED","EHL","Capital Goods"
"EMERALD RESOURCES NL","EMR","Materials"
"EMETALS LIMITED","EMT","Not Applic"
"EMINENCE MINERALS LIMITED","EMA","Materials"
"EMIRATES NBD PJSC","EMI","Not Applic"
"EML PAYMENTS LIMITED","EML","Financial Services"
"EMMERSON RESOURCES LIMITED","ERM","Materials"
"EMPEROR ENERGY LIMITED","EMP","Energy"
"EMPIRE RESOURCES LIMITED","ERL","Materials"
"EMU NL","EMU","Materials"
"EMVISION MEDICAL DEVICES LTD","EMV","Health Care Equipment & Services"
"EMYRIA LIMITED","EMD","Health Care Equipment & Services"
"ENCOUNTER RESOURCES LIMITED","ENR","Materials"
"ENDEAVOUR GROUP LIMITED","EDV","Consumer Staples Distribution & Retail"
"ENECO REFRESH LTD","ERG","Food, Beverage & Tobacco"
"ENEGEX LIMITED","ENX","Materials"
"ENERGY ACTION LIMITED","EAX","Commercial & Professional Services"
"ENERGY METALS LTD","EME","Energy"
"ENERGY ONE LIMITED","EOL","Software & Services"
"ENERGY RESOURCES OF AUSTRALIA LIMITED","ERA","Energy"
"ENERGY TECHNOLOGIES LIMITED","EGY","Capital Goods"
"ENERGY TRANSITION MINERALS LTD","ETM","Materials"
"ENERGY WORLD CORPORATION LTD","EWC","Utilities"
"ENERO GROUP LIMITED","EGG","Media & Entertainment"
"ENLITIC INC.","ENL","Health Care Equipment & Services"
"ENOVA MINING LIMITED","ENV","Materials"
"ENTERPRISE METALS LIMITED","ENT","Materials"
"ENTROPY NEURODYNAMICS LIMITED","ENP","Pharmaceuticals, Biotechnology & Life Sciences"
"ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","ECT","Commercial & Professional Services"
"ENVIRONMENTAL GROUP LIMITED (THE)","EGL","Capital Goods"
"EPIMINDER LIMITED","EPI","Health Care Equipment & Services"
"EPSILON HEALTHCARE LIMITED","EPN","Pharmaceuticals, Biotechnology & Life Sciences"
"EPX LIMITED","EPX","Software & Services"
"EQ RESOURCES LIMITED","EQR","Materials"
"EQT HOLDINGS LIMITED","EQT","Financial Services"
"EQUATORIAL RESOURCES LIMITED","EQX","Materials"
"EQUUS ENERGY LIMITED","EQU","Energy"
